ZK,SELL,LIMIT,IOC,5642,0.1921769,0.1950000,FILLED,55,5642,1718902948710,1084.2620698
LISTA,BUY,LIMIT,IOC,552,0.6754843,0.6664989,FILLED,9,552,1718902949456,372.8673336
NEAR,SELL,LIMIT,IOC,4,5.0062,5.0830,FILLED,4,4,1718902951301,20.0248
RNDR,SELL,LIMIT,IOC,64.8,7.534573,7.648024,FILLED,48.8,64.8,1718902952538,488.24033039999995
NEAR,SELL,LIMIT,IOC,4,5.0046,5.0800,FILLED,4,4,1718902956264,20.0184
BAND,SELL,LIMIT,IOC,754.1,1.1136,1.1287,FILLED,4.5,754.1,1718902958536,839.76576
ONE,SELL,LIMIT,IOC,125258,0.01515,0.01534,FILLED,33156,125258,1718902958548,1897.6587
TURBO,SELL,LIMIT,IOC,75793,0.0056167,0.0056992,FILLED,16100,75793,1718902962103,425.7065431
POWR,SELL,LIMIT,IOC,1601,0.2070068,0.2100000,FILLED,1601,1601,1718902964088,331.41788679999996
NOT,SELL,LIMIT,IOC,17060,0.0142121,0.0144170,FILLED,12076,17060,1718902964539,242.458426
JTO,SELL,LIMIT,IOC,12,2.309455,2.344500,FILLED,12,12,1718902966078,27.713459999999998
UNI,SELL,LIMIT,IOC,48,9.9605,10.0177,FILLED,10,48,1718902966154,478.104
1000PEPE,SELL,LIMIT,IOC,28622,0.0108229,0.0109837,FILLED,19594,28622,1718902971078,309.7730438
NFP,SELL,LIMIT,IOC,2824.0,0.3292732,0.3341221,FILLED,7.9,2824.0,1718902973147,929.8675168
AGIX,SELL,LIMIT,IOC,381,0.6291605,0.6409000,FILLED,381,381,1718902973284,239.7101505
ZRO,SELL,LIMIT,IOC,6.6,3.4519543,3.5060000,FILLED,6.6,6.6,1718902976084,22.78289838
LRC,SELL,LIMIT,IOC,355,0.16927,0.17160,FILLED,355,355,1718902984209,60.09085
WIF,SELL,LIMIT,IOC,941.2,1.9485369,1.9780076,FILLED,117.8,941.2,1718902990071,1833.96293028
GMT,SELL,LIMIT,IOC,346,0.16229,0.16460,FILLED,346,346,1718902990139,56.152339999999995
PYTH,SELL,LIMIT,IOC,15981,0.3065225,0.3110445,FILLED,3075,15981,1718902990141,4898.5360725
STRK,SELL,LIMIT,IOC,5259.8,0.7063703,0.7170600,FILLED,85.3,5259.8,1718902990286,3715.3665039400003
KAS,SELL,LIMIT,IOC,12729,0.1407323,0.1426256,FILLED,7,12729,1718902990553,1791.3814467
NEAR,SELL,LIMIT,IOC,3,4.9970,5.0730,FILLED,3,3,1718902994366,14.991
TURBO,BUY,LIMIT,IOC,15482,0.0058087,0.0057230,FILLED,5492,15482,1718903024201,89.9302934
TURBO,BUY,LIMIT,IOC,64568,0.0058127,0.0057350,FILLED,64568,64568,1718903026290,375.31441359999997
TURBO,BUY,LIMIT,IOC,4006,0.0058202,0.0057400,FILLED,4006,4006,1718903028468,23.315721200000002
AGIX,SELL,LIMIT,IOC,619,0.6272988,0.6398000,FILLED,168,619,1718903041069,388.29795720000004
PEOPLE,BUY,LIMIT,IOC,437,0.08783,0.08659,FILLED,206,437,1718903049232,38.381710000000005
IO,BUY,LIMIT,IOC,115.9,4.0117325,3.9570000,FILLED,25.9,115.9,1718903068191,464.95979675
ONG,BUY,LIMIT,IOC,1562,0.3461606,0.3416822,FILLED,359,1562,1718903084357,540.7028571999999
ONG,BUY,LIMIT,IOC,278,0.3467095,0.3415800,FILLED,278,278,1718903086362,96.38524100000001
ONG,BUY,LIMIT,IOC,235,0.3469194,0.3418300,FILLED,235,235,1718903096103,81.526059
ZRO,SELL,LIMIT,IOC,25.0,3.4496001,3.5020000,FILLED,25.0,25.0,1718903102137,86.2400025
NOT,BUY,LIMIT,IOC,14836,0.0147247,0.0145085,FILLED,8657,14836,1718903106203,218.4556492
LISTA,SELL,LIMIT,IOC,267,0.6509961,0.6601000,FILLED,267,267,1718903108182,173.81595869999998
ZRO,SELL,LIMIT,IOC,28.0,3.4411232,3.4880000,FILLED,28.0,28.0,1718903109191,96.3514496
W,BUY,LIMIT,IOC,125.0,0.3562314,0.3514000,FILLED,125.0,125.0,1718903109621,44.528924999999994
LISTA,SELL,LIMIT,IOC,619,0.6508792,0.6598000,FILLED,220,619,1718903110187,402.8942248
W,BUY,LIMIT,IOC,671.1,0.3566090,0.3515957,FILLED,595.5,671.1,1718903111191,239.3202999
ZRO,SELL,LIMIT,IOC,99.7,3.4379920,3.4900000,FILLED,99.7,99.7,1718903111415,342.7678024
LISTA,SELL,LIMIT,IOC,402,0.6504906,0.6596000,FILLED,186,402,1718903116455,261.4972212
ONG,BUY,LIMIT,IOC,3190,0.3470418,0.3418075,FILLED,1468,3190,1718903118393,1107.0633420000001
BB,BUY,LIMIT,IOC,3612,0.3964047,0.3907000,FILLED,2258,3612,1718903119075,1431.8137764
PEOPLE,BUY,LIMIT,IOC,236,0.08832,0.08717,FILLED,171,236,1718903119160,20.843519999999998
LISTA,SELL,LIMIT,IOC,642,0.6503946,0.6598253,FILLED,479,642,1718903120116,417.55333320000005
ONG,BUY,LIMIT,IOC,1606,0.3477039,0.3425834,FILLED,704,1606,1718903120116,558.4124634
NOT,BUY,LIMIT,IOC,153167,0.0147374,0.0145183,FILLED,24559,153167,1718903120349,2257.2833458
ONG,BUY,LIMIT,IOC,9990,0.3478511,0.3426852,FILLED,26,9990,1718903121196,3475.032489
LISTA,SELL,LIMIT,IOC,7541,0.6488372,0.6553568,FILLED,744,7541,1718903122078,4892.8813252
LISTA,SELL,LIMIT,IOC,3487,0.6465035,0.6554072,FILLED,1068,3487,1718903124230,2254.3577045
NOT,BUY,LIMIT,IOC,37708,0.0147434,0.0145270,FILLED,35527,37708,1718903128311,555.9441272
ONG,BUY,LIMIT,IOC,2312,0.3481024,0.3426696,FILLED,255,2312,1718903129160,804.8127487999999
NOT,BUY,LIMIT,IOC,13151,0.0147468,0.0145281,FILLED,2229,13151,1718903144320,193.9351668
ZRO,SELL,LIMIT,IOC,152.8,3.4257991,3.4730000,FILLED,53.6,152.8,1718903146285,523.46210248
NOT,BUY,LIMIT,IOC,2461,0.0147506,0.0145310,FILLED,2461,2461,1718903151488,36.3012266
NOT,BUY,LIMIT,IOC,86589,0.0147611,0.0145400,FILLED,75681,86589,1718903155155,1278.1488878999999
ZRO,SELL,LIMIT,IOC,186.7,3.4189322,3.4690000,FILLED,55.3,186.7,1718903168214,638.31464174
ZRO,SELL,LIMIT,IOC,114.2,3.4174532,3.4680000,FILLED,10.1,114.2,1718903169596,390.27315544000004
BB,BUY,LIMIT,IOC,112,0.3969938,0.3915000,FILLED,112,112,1718903170163,44.4633056
NOT,BUY,LIMIT,IOC,15596,0.0147710,0.0145520,FILLED,15596,15596,1718903174329,230.368516
W,BUY,LIMIT,IOC,285.7,0.3578691,0.3526000,FILLED,285.7,285.7,1718903177357,102.24320187
TURBO,BUY,LIMIT,IOC,13369,0.0058317,0.0057520,FILLED,1273,13369,1718903178213,77.9639973
TURBO,BUY,LIMIT,IOC,16540,0.0058374,0.0057547,FILLED,12801,16540,1718903180420,96.55059600000001
TURBO,BUY,LIMIT,IOC,90285,0.0058429,0.0057685,FILLED,8582,90285,1718903182316,527.5262265
TURBO,BUY,LIMIT,IOC,871234,0.0058564,0.0057748,FILLED,165384,871234,1718903183353,5102.2947976000005
TURBO,BUY,LIMIT,IOC,1287122,0.0058682,0.0057781,FILLED,436520,1287122,1718903185364,7553.089320399999
TURBO,BUY,LIMIT,IOC,86955,0.0058638,0.0058000,FILLED,10194,86955,1718903188084,509.886729
TURBO,BUY,LIMIT,IOC,36330,0.0058681,0.0058050,FILLED,31148,36330,1718903189119,213.188073
TURBO,BUY,LIMIT,IOC,349995,0.0058925,0.0058060,FILLED,345995,349995,1718903190174,2062.3455375
TURBO,SELL,LIMIT,IOC,35959,0.0056835,0.0057600,FILLED,35959,35959,1718903231330,204.3729765
IO,SELL,LIMIT,IOC,12.6,3.8854115,3.9420000,FILLED,0.5,12.6,1718903236287,48.9561849
BOND,SELL,LIMIT,IOC,62.5,2.026074,2.053000,FILLED,55.2,62.5,1718903241050,126.62962499999999
LISTA,BUY,LIMIT,IOC,1661,0.6735421,0.6638205,FILLED,218,1661,1718903271454,1118.7534281
LISTA,BUY,LIMIT,IOC,513,0.6742093,0.6643337,FILLED,145,513,1718903282155,345.8693709
FTM,BUY,LIMIT,IOC,2000,0.559073,0.555900,FILLED,1625,2000,1718903317222,1118.1460000000002
PEOPLE,BUY,LIMIT,IOC,2733,0.08877,0.08748,FILLED,1475,2733,1718903318055,242.60841
ZRO,SELL,LIMIT,IOC,71.6,3.4158649,3.4540000,FILLED,71.6,71.6,1718903326153,244.57592683999997
